Date,Open,High,Low,Close,Volume,MA5,MA20,Daily_Return
2025-08-11,194.0,198.0,192.5,198.0,52291064,191.5,175.075,1.799485861182526
2025-08-12,198.5,199.0,195.5,197.0,38689326,194.0,176.9,-0.5050505050505083
2025-08-13,198.0,199.0,193.5,198.5,103356675,196.5,178.675,0.761421319796951
2025-08-14,197.5,200.0,197.0,199.5,78943020,197.5,180.525,0.5037783375314797
2025-08-15,205.0,208.0,202.0,207.0,156672765,200.0,182.675,3.759398496240607
2025-08-18,207.5,210.0,206.0,210.0,73566364,202.4,184.9,1.449275362318847
2025-08-19,210.0,212.0,208.0,208.0,49978122,204.6,187.05,-0.952380952380949
2025-08-20,206.0,206.5,200.0,200.5,124219182,205.0,188.975,-3.605769230769229
2025-08-21,201.0,206.0,201.0,206.0,67845018,206.3,190.975,2.7431421446383997
2025-08-22,208.0,208.0,202.0,202.5,54944456,205.4,192.4,-1.6990291262135915
2025-08-25,207.0,208.0,206.0,207.5,52074373,204.9,194.05,2.4691358024691468
2025-08-26,207.0,209.0,206.0,209.0,42252559,205.1,195.7,0.7228915662650603
2025-08-27,210.0,210.0,207.5,208.0,41852802,206.6,197.525,-0.4784688995215336
2025-08-28,207.5,207.5,204.0,206.0,48681221,206.6,198.925,-0.9615384615384581
2025-08-29,206.0,207.0,202.5,203.5,55250195,206.8,200.025,-1.2135922330097082
2025-09-01,203.0,204.5,197.0,198.5,70459817,205.0,200.95,-2.457002457002455
2025-09-02,200.0,203.5,198.0,198.5,35779045,202.9,201.65,0.0
2025-09-03,198.5,201.0,197.0,200.5,34371962,201.4,202.375,1.0075566750629816
2025-09-04,203.0,205.0,202.0,203.0,41864177,200.8,202.8,1.2468827930174564
2025-09-05,205.5,206.5,203.0,205.0,39235404,201.1,203.325,0.9852216748768461
2025-09-08,206.0,207.5,202.0,203.5,45711589,202.1,203.6,-0.7317073170731714
2025-09-09,204.5,208.0,204.0,207.5,64990917,203.9,204.125,1.9656019656019597
2025-09-10,211.0,211.0,209.0,210.0,86104648,205.8,204.7,1.2048192771084265
2025-09-11,212.0,216.5,209.0,214.5,133210297,208.1,205.45,2.1428571428571352
2025-09-12,217.0,218.5,216.5,217.5,74001120,210.6,205.975,1.3986013986013957
2025-09-15,218.5,218.5,213.0,216.0,56651315,213.1,206.275,-0.6896551724137945
2025-09-16,217.0,217.0,213.5,215.5,50810161,214.7,206.65,-0.23148148148147696
2025-09-17,214.0,214.5,211.0,212.0,57358177,215.1,207.225,-1.6241299303944357
2025-09-18,211.5,216.0,208.0,215.0,80554452,215.2,207.675,1.4150943396226356
2025-09-19,216.5,217.0,214.0,214.0,60640765,214.5,208.25,-0.46511627906976605
2025-09-22,215.5,218.0,214.0,216.0,34758075,214.5,208.675,0.9345794392523255
2025-09-23,218.0,222.0,217.5,221.0,106127922,215.6,209.275,2.314814814814814
2025-09-24,222.0,223.0,219.0,223.0,66406960,217.8,210.025,0.9049773755656076
2025-09-25,223.0,231.0,222.5,230.0,126590277,220.8,211.225,3.1390134529148073
2025-09-26,230.0,230.5,218.5,219.5,122225692,221.9,212.025,-4.565217391304344
2025-09-30,224.0,224.0,215.5,216.0,92277798,221.9,212.9,-1.5945330296127547
2025-10-01,219.0,222.0,216.0,219.0,58600187,221.5,213.925,1.388888888888884
2025-10-02,221.5,226.0,221.0,225.5,73884573,222.0,215.175,2.9680365296803624
2025-10-03,226.0,228.0,224.5,226.5,52446781,221.3,216.35,0.44345898004434225
2025-10-07,230.0,231.5,225.0,228.5,66127414,223.1,217.525,0.8830022075055233
2025-10-08,225.0,225.5,222.0,225.0,50104069,224.9,218.6,-1.5317286652078765
2025-10-09,227.0,227.0,221.0,221.5,56700891,225.4,219.3,-1.5555555555555545
2025-10-13,210.0,216.0,210.0,213.0,111260942,222.9,219.45,-3.8374717832957095
2025-10-14,216.0,217.5,205.0,206.0,108702039,218.8,219.025,-3.2863849765258246
2025-10-15,207.5,208.0,203.0,206.5,65964764,214.4,218.475,0.24271844660195274
2025-10-16,215.0,225.5,211.5,223.0,154273795,214.0,218.825,7.9903147699757815
2025-10-17,224.0,230.0,222.5,226.5,119855855,215.0,219.375,1.5695067264573925
2025-10-20,230.0,239.5,229.0,238.5,152953266,220.1,220.7,5.298013245033117
2025-10-21,241.5,245.5,238.0,239.0,120698819,226.7,221.9,0.20964360587001352
2025-10-22,238.0,243.0,236.5,242.5,71609786,233.9,223.325,1.4644351464435212
2025-10-23,240.0,240.5,238.0,239.0,50955830,237.1,224.475,-1.4432989690721598
2025-10-27,249.0,249.0,243.0,246.5,80708542,241.1,225.75,3.1380753138075423
2025-10-28,248.0,250.0,246.5,250.0,73662546,243.4,227.1,1.4198782961460488
2025-10-29,254.0,263.0,253.0,260.0,125297120,247.6,228.6,4.0000000000000036
2025-10-30,262.5,265.0,256.5,262.0,108445874,251.5,230.725,0.7692307692307665
2025-10-31,261.0,262.0,257.0,257.5,63119828,255.2,232.8,-1.717557251908397
2025-11-03,255.0,256.5,250.0,251.5,97190219,256.2,234.425,-2.3300970873786353
2025-11-04,252.0,255.0,244.0,244.0,95832447,255.0,235.35,-2.982107355864816
2025-11-05,239.0,248.5,237.0,247.0,114664242,252.4,236.375,1.2295081967213184
2025-11-06,249.5,250.5,246.0,248.0,65794425,249.6,237.35,0.4048582995951344
2025-11-07,246.0,250.5,244.0,244.0,50319199,246.9,238.3,-1.6129032258064502
2025-11-10,245.0,250.0,244.0,249.5,51628691,246.5,239.7,2.254098360655732
2025-11-11,251.0,252.0,246.5,246.5,50821377,247.0,241.375,-1.2024048096192397
2025-11-12,248.0,252.0,245.0,251.0,65085447,247.8,243.625,1.8255578093306246
2025-11-13,256.0,256.0,247.0,252.0,90541908,248.6,245.9,0.3984063745019917
2025-11-14,246.5,247.0,241.0,241.0,112889692,248.0,246.8,-4.36507936507936
2025-11-17,241.0,242.0,235.0,236.0,84874596,245.3,247.275,-2.0746887966805017
2025-11-18,231.5,237.0,230.0,230.0,77859170,242.0,246.85,-2.5423728813559365
2025-11-19,226.5,230.0,226.5,229.0,70909837,237.6,246.35,-0.43478260869564966
2025-11-20,237.0,238.0,232.5,236.5,78464576,234.5,246.05,3.275109170305668
2025-11-21,226.0,229.5,225.0,225.0,97471576,231.3,245.35,-4.8625792811839315
2025-11-24,226.5,227.0,220.0,220.0,100270276,228.1,244.025,-2.2222222222222254
2025-11-25,225.0,226.0,219.0,219.0,73643136,225.9,242.475,-0.4545454545454519
2025-11-26,221.0,228.0,221.0,227.0,68461990,225.5,240.825,3.65296803652968
2025-11-27,229.0,232.0,226.0,231.0,63038658,224.4,239.275,1.7621145374449254
2025-11-28,229.5,229.5,225.0,225.5,56939840,224.5,237.675,-2.3809523809523836
2025-12-01,225.0,226.0,222.0,222.0,52409098,224.9,236.2,-1.552106430155209
2025-12-02,220.5,225.0,220.5,222.0,49869243,225.5,235.1,0.0
2025-12-03,225.0,230.0,225.0,227.0,53110402,225.5,234.1,2.2522522522522515
2025-12-04,230.0,230.0,227.5,228.5,25728854,225.0,233.125,0.6607929515418443
2025-12-05,229.0,231.5,228.5,231.0,35103317,226.1,232.475,1.0940919037199182
2025-12-08,231.5,232.0,229.0,232.0,29940997,228.1,231.6,0.43290043290042934
2025-12-09,233.0,236.5,232.0,235.0,54359440,230.7,231.025,1.2931034482758674
2025-12-10,236.0,236.0,232.0,233.5,36069288,232.0,230.15,-0.6382978723404209
2025-12-11,234.0,234.5,226.0,226.0,60054527,231.5,228.85,-3.2119914346895095
2025-12-12,227.0,228.5,225.0,227.0,29684376,230.7,228.15,0.4424778761061843
2025-12-15,221.0,223.0,220.5,221.5,44481528,228.6,227.425,-2.4229074889867808
2025-12-16,220.0,220.5,215.0,218.0,63458370,225.2,226.825,-1.5801354401805856
2025-12-17,218.0,219.5,216.0,216.5,51129639,221.8,226.2,-0.6880733944954143
2025-12-18,214.5,217.0,213.5,216.0,50364181,219.8,225.175,-0.2309468822170868
2025-12-19,219.0,221.5,218.0,221.5,41562299,218.7,225.0,2.546296296296302
2025-12-22,224.5,225.5,223.0,224.0,40062169,219.2,225.2,1.1286681715575675
2025-12-23,225.5,226.0,223.5,224.0,29629268,220.4,225.45,0.0
